what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1382127868710
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1382127868710
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui",1382127868711
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1382127868711
os,sysinfo,,,"macosx",1382127868714
arch,sysinfo,,,"x86",1382127868714
ws,sysinfo,,,"cocoa",1382127868714
locale,sysinfo,,,"en_US",1382127868714
processors,sysinfo,,,"4",1382127868714
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1382127868714
java.runtime.version,sysinfo,,,"1.6.0_65-b14-462-11M4609",1382127868714
java.specification.name,sysinfo,,,"Java Platform API Specification",1382127868714
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1382127868714
java.specification.version,sysinfo,,,"1.6",1382127868714
java.vendor,sysinfo,,,"Apple Inc.",1382127868714
java.version,sysinfo,,,"1.6.0_65",1382127868714
java.vm.info,sysinfo,,,"mixed mode",1382127868714
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1382127868714
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1382127868714
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1382127868714
java.vm.specification.version,sysinfo,,,"1.0",1382127868714
java.vm.vendor,sysinfo,,,"Apple Inc.",1382127868714
java.vm.version,sysinfo,,,"20.65-b04-462",1382127868714
started,bundle,com.android.ide.eclipse.ddms,11.0.0.v201105251008-128486,"com.android.ide.eclipse.ddms",1382127875868
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1382127876008
started,bundle,com.android.ide.eclipse.adt,11.0.0.v201105251008-128486,"com.android.ide.eclipse.adt",1382127876010
started,bundle,com.android.ide.eclipse.traceview,11.0.0.v201105251008-128486,"com.android.ide.eclipse.traceview",1382127876049
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1382127876261
started,bundle,org.eclipse.core.filesystem,1.2.1.R35x_v20091203-1235,"org.eclipse.core.filesystem",1382127876359
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1382127876363
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1382127876365
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1382127878646
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1382127885262
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1382127908579
closed,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1382127909398
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1382127909866
stopped,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1382127909867
stopped,bundle,com.android.ide.eclipse.adt,11.0.0.v201105251008-128486,"com.android.ide.eclipse.adt",1382127909881
stopped,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1382127909882
stopped,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1382127909882
stopped,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1382127909883
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090930-2100_R35x,"org.eclipse.jdt.apt.ui",1382127909884
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1382127909885
stopped,bundle,com.android.ide.eclipse.traceview,11.0.0.v201105251008-128486,"com.android.ide.eclipse.traceview",1382127909885
stopped,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1382127909890
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.400.v200904300717,"org.eclipse.wst.dtd.ui",1382127909891
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.204.v200909021537,"org.eclipse.wst.xsd.ui",1382127909893
stopped,bundle,org.eclipse.wst.xml.ui,1.1.2.v201001222130,"org.eclipse.wst.xml.ui",1382127909893
stopped,bundle,org.eclipse.wst.common.ui,1.1.402.v200901262305,"org.eclipse.wst.common.ui",1382127909894
stopped,bundle,org.eclipse.wst.sse.ui,1.1.102.v200910200227,"org.eclipse.wst.sse.ui",1382127909894
stopped,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1382127909895
